Ticker,Date,Open,High,Low,Close,Adj Close,Volume
GBP=X,2008-08-01,0.5044100284576416,0.5067999958992004,0.5039600133895874,0.5065100193023682,0.5065100193023682,0.0
AUD=X,2008-08-01,1.0642999410629272,1.0765000581741333,1.0638999938964844,1.072700023651123,1.072700023651123,0.0
CAD=X,2008-08-01,1.0233999490737915,1.0293999910354614,1.0228999853134155,1.0246000289916992,1.0246000289916992,0.0
CHF=X,2008-08-01,1.0479999780654907,1.051200032234192,1.04639995098114,1.0504000186920166,1.0504000186920166,0.0
CNY=X,2008-08-01,6.835999965667725,6.855400085449219,6.821000099182129,6.8470001220703125,6.8470001220703125,0.0
SGD=X,2008-08-01,1.367799997329712,1.372499942779541,1.3676999807357788,1.372499942779541,1.372499942779541,0.0
GBP=X,2008-08-04,0.5063199996948242,0.5101500153541565,0.5060700178146362,0.5098900198936462,0.5098900198936462,0.0
AUD=X,2008-08-04,1.0745999813079834,1.0769000053405762,1.0700000524520874,1.0769000053405762,1.0769000053405762,0.0
CAD=X,2008-08-04,1.027999997138977,1.0368000268936155,1.0262000560760498,1.0363999605178833,1.0363999605178833,0.0
CHF=X,2008-08-04,1.0484999418258667,1.0501999855041504,1.0432000160217283,1.048799991607666,1.048799991607666,0.0
CNY=X,2008-08-04,6.853499889373779,6.86959981918335,6.841000080108643,6.856500148773193,6.856500148773193,0.0
SGD=X,2008-08-04,1.3702000379562378,1.3737000226974487,1.3687000274658203,1.371999979019165,1.371999979019165,0.0
GBP=X,2008-08-05,0.509909987449646,0.5121600031852722,0.5098900198936462,0.5113499760627747,0.5113499760627747,0.0
AUD=X,2008-08-05,1.0771000385284424,1.0943000316619873,1.0757999420166016,1.0906000137329102,1.0906000137329102,0.0
CAD=X,2008-08-05,1.0362999439239502,1.044800043106079,1.0362999439239502,1.0426000356674194,1.0426000356674194,0.0
CHF=X,2008-08-05,1.0485999584197998,1.0556999444961548,1.0484999418258667,1.0535999536514282,1.0535999536514282,0.0
CNY=X,2008-08-05,6.848499774932861,6.866499900817871,6.840000152587891,6.860000133514404,6.860000133514404,0.0
SGD=X,2008-08-05,1.371999979019165,1.3811999559402466,1.371999979019165,1.378499984741211,1.378499984741211,0.0
GBP=X,2008-08-06,0.5113499760627747,0.5136200189590454,0.5104699730873108,0.5132899880409241,0.5132899880409241,0.0
AUD=X,2008-08-06,1.0902999639511108,1.1023999452590942,1.0866999626159668,1.0973000526428225,1.0973000526428225,0.0
CAD=X,2008-08-06,1.0426000356674194,1.049299955368042,1.0399999618530271,1.0475000143051147,1.0475000143051147,0.0
